$0;1556435652058546523;1.13;KIEKER;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1556435652059619436;getBook;7594699a-9031-47a6-b9f6-3b8303772074;3032189186615541764;1556435652059614648;1556435652059616032;icedsoul-PC;2;2
$1;1556435652059669286;getBook;7594699a-9031-47a6-b9f6-3b8303772074;3032189186615541764;1556435652059666217;1556435652059667489;icedsoul-PC;4;3
$1;1556435652059686514;getOffers;7594699a-9031-47a6-b9f6-3b8303772074;3032189186615541764;1556435652059663087;1556435652059684712;icedsoul-PC;3;2
$1;1556435652059700453;searchBook;7594699a-9031-47a6-b9f6-3b8303772074;3032189186615541764;1556435652059609496;1556435652059698809;icedsoul-PC;1;1
